DATE,ALBU735BP1FH
1988-01-01,131
1988-02-01,221
1988-03-01,232
1988-04-01,209
1988-05-01,236
1988-06-01,176
1988-07-01,200
1988-08-01,143
1988-09-01,259
1988-10-01,206
1988-11-01,142
1988-12-01,147
1989-01-01,130
1989-02-01,129
1989-03-01,160
1989-04-01,204
1989-05-01,185
1989-06-01,143
1989-07-01,129
1989-08-01,194
1989-09-01,140
1989-10-01,164
1989-11-01,102
1989-12-01,91
1990-01-01,156
1990-02-01,93
1990-03-01,207
1990-04-01,184
1990-05-01,147
1990-06-01,123
1990-07-01,114
1990-08-01,149
1990-09-01,107
1990-10-01,92
1990-11-01,115
1990-12-01,57
1991-01-01,75
1991-02-01,124
1991-03-01,121
1991-04-01,121
1991-05-01,135
1991-06-01,152
1991-07-01,143
1991-08-01,142
1991-09-01,136
1991-10-01,111
1991-11-01,117
1991-12-01,101
1992-01-01,140
1992-02-01,195
1992-03-01,209
1992-04-01,267
1992-05-01,168
1992-06-01,238
1992-07-01,210
1992-08-01,172
1992-09-01,176
1992-10-01,213
1992-11-01,211
1992-12-01,128
1993-01-01,175
1993-02-01,218
1993-03-01,290
1993-04-01,312
1993-05-01,275
1993-06-01,368
1993-07-01,338
1993-08-01,351
1993-09-01,360
1993-10-01,365
1993-11-01,280
1993-12-01,263
1994-01-01,312
1994-02-01,380
1994-03-01,511
1994-04-01,493
1994-05-01,409
1994-06-01,445
1994-07-01,348
1994-08-01,403
1994-09-01,397
1994-10-01,346
1994-11-01,311
1994-12-01,323
1995-01-01,297
1995-02-01,361
1995-03-01,401
1995-04-01,351
1995-05-01,407
1995-06-01,547
1995-07-01,372
1995-08-01,468
1995-09-01,356
1995-10-01,392
1995-11-01,400
1995-12-01,331
1996-01-01,326
1996-02-01,376
1996-03-01,455
1996-04-01,401
1996-05-01,461
1996-06-01,394
1996-07-01,412
1996-08-01,437
1996-09-01,401
1996-10-01,401
1996-11-01,314
1996-12-01,352
1997-01-01,313
1997-02-01,411
1997-03-01,426
1997-04-01,466
1997-05-01,417
1997-06-01,416
1997-07-01,430
1997-08-01,386
1997-09-01,191
1997-10-01,478
1997-11-01,307
1997-12-01,334
1998-01-01,373
1998-02-01,350
1998-03-01,211
1998-04-01,526
1998-05-01,527
1998-06-01,475
1998-07-01,460
1998-08-01,411
1998-09-01,477
1998-10-01,498
1998-11-01,342
1998-12-01,448
1999-01-01,357
1999-02-01,148
1999-03-01,597
1999-04-01,646
1999-05-01,517
1999-06-01,576
1999-07-01,465
1999-08-01,414
1999-09-01,372
1999-10-01,303
1999-11-01,321
1999-12-01,409
2000-01-01,337
2000-02-01,407
2000-03-01,538
2000-04-01,406
2000-05-01,454
2000-06-01,455
2000-07-01,404
2000-08-01,357
2000-09-01,396
2000-10-01,351
2000-11-01,293
2000-12-01,329
2001-01-01,197
2001-02-01,402
2001-03-01,687
2001-04-01,578
2001-05-01,503
2001-06-01,140
2001-07-01,591
2001-08-01,459
2001-09-01,420
2001-10-01,411
2001-11-01,344
2001-12-01,81
2002-01-01,100
2002-02-01,405
2002-03-01,534
2002-04-01,537
2002-05-01,555
2002-06-01,552
2002-07-01,623
2002-08-01,608
2002-09-01,558
2002-10-01,509
2002-11-01,425
2002-12-01,392
2003-01-01,481
2003-02-01,443
2003-03-01,623
2003-04-01,553
2003-05-01,570
2003-06-01,609
2003-07-01,593
2003-08-01,571
2003-09-01,636
2003-10-01,601
2003-11-01,407
2003-12-01,500
2004-01-01,421
2004-02-01,714
2004-03-01,674
2004-04-01,608
2004-05-01,600
2004-06-01,730
2004-07-01,642
2004-08-01,546
2004-09-01,595
2004-10-01,558
2004-11-01,540
2004-12-01,470
2005-01-01,502
2005-02-01,527
2005-03-01,504
2005-04-01,652
2005-05-01,669
2005-06-01,700
2005-07-01,619
2005-08-01,655
2005-09-01,650
2005-10-01,552
2005-11-01,502
2005-12-01,497
2006-01-01,477
2006-02-01,488
2006-03-01,831
2006-04-01,497
2006-05-01,555
2006-06-01,525
2006-07-01,387
2006-08-01,328
2006-09-01,285
2006-10-01,345
2006-11-01,276
2006-12-01,278
2007-01-01,285
2007-02-01,359
2007-03-01,391
2007-04-01,422
2007-05-01,395
2007-06-01,546
2007-07-01,323
2007-08-01,324
2007-09-01,164
2007-10-01,214
2007-11-01,148
2007-12-01,164
2008-01-01,163
2008-02-01,225
2008-03-01,244
2008-04-01,223
2008-05-01,212
2008-06-01,216
2008-07-01,166
2008-08-01,141
2008-09-01,127
2008-10-01,136
2008-11-01,80
2008-12-01,88
2009-01-01,103
2009-02-01,73
2009-03-01,93
2009-04-01,173
2009-05-01,138
2009-06-01,166
2009-07-01,157
2009-08-01,158
2009-09-01,114
2009-10-01,127
2009-11-01,105
2009-12-01,129
2010-01-01,90
2010-02-01,131
2010-03-01,172
2010-04-01,158
2010-05-01,136
2010-06-01,183
2010-07-01,134
2010-08-01,122
2010-09-01,123
2010-10-01,102
2010-11-01,92
2010-12-01,116
2011-01-01,90
2011-02-01,77
2011-03-01,112
2011-04-01,130
2011-05-01,143
2011-06-01,142
2011-07-01,119
2011-08-01,130
2011-09-01,115
2011-10-01,94
2011-11-01,103
2011-12-01,99
2012-01-01,84
2012-02-01,120
2012-03-01,158
2012-04-01,159
2012-05-01,185
2012-06-01,196
2012-07-01,175
2012-08-01,188
2012-09-01,155
2012-10-01,175
2012-11-01,146
2012-12-01,140
2013-01-01,156
2013-02-01,167
2013-03-01,128
2013-04-01,123
2013-05-01,137
2013-06-01,115
2013-07-01,133
2013-08-01,116
2013-09-01,150
2013-10-01,92
2013-11-01,118
2013-12-01,112
2014-01-01,116
2014-02-01,119
2014-03-01,143
2014-04-01,148
2014-05-01,149
2014-06-01,153
2014-07-01,134
2014-08-01,95
2014-09-01,158
2014-10-01,222
2014-11-01,114
2014-12-01,142
2015-01-01,135
2015-02-01,127
2015-03-01,183
2015-04-01,195
2015-05-01,212
2015-06-01,214
2015-07-01,208
2015-08-01,168
2015-09-01,157
2015-10-01,128
2015-11-01,120
2015-12-01,172
2016-01-01,130
2016-02-01,168
2016-03-01,136
2016-04-01,192
2016-05-01,204
2016-06-01,223
2016-07-01,133
2016-08-01,190
2016-09-01,174
2016-10-01,130
2016-11-01,160
2016-12-01,173
2017-01-01,142
2017-02-01,169
2017-03-01,187
2017-04-01,148
2017-05-01,204
2017-06-01,174
2017-07-01,94
2017-08-01,154
2017-09-01,184
2017-10-01,146
2017-11-01,147
2017-12-01,243
2018-01-01,204
2018-02-01,271
2018-03-01,244
2018-04-01,194.0
2018-05-01,186.0
2018-06-01,217.0
2018-07-01,173.0
2018-08-01,186.0
2018-09-01,103.0
2018-10-01,153.0
2018-11-01,137.0
2018-12-01,145.0
2019-01-01,140.0
2019-02-01,133.0
2019-03-01,169.0
2019-04-01,172.0
2019-05-01,153.0
2019-06-01,189.0
2019-07-01,157.0
2019-08-01,180.0
2019-09-01,157.0
2019-10-01,195.0
2019-11-01,151.0
2019-12-01,138.0
2020-01-01,190.0
2020-02-01,199.0
2020-03-01,184.0
2020-04-01,109.0
2020-05-01,104.0
2020-06-01,203.0
2020-07-01,167.0
2020-08-01,143.0
2020-09-01,150.0
2020-10-01,174.0
2020-11-01,176.0
2020-12-01,132.0
2021-01-01,161.0
2021-02-01,211.0
2021-03-01,308.0
2021-04-01,340.0
2021-05-01,257.0
2021-06-01,214.0
2021-07-01,167.0
2021-08-01,228.0
2021-09-01,197.0
2021-10-01,157.0
2021-11-01,148.0
2021-12-01,184.0
2022-01-01,180.0
2022-02-01,189.0
2022-03-01,226.0
2022-04-01,214.0
2022-05-01,170.0
2022-06-01,201.0
2022-07-01,153.0
2022-08-01,107.0
2022-09-01,165.0
2022-10-01,126.0
2022-11-01,120.0
2022-12-01,83.0
2023-01-01,132.0
2023-02-01,109.0
2023-03-01,187.0
2023-04-01,158.0
2023-05-01,155.0
2023-06-01,184.0
2023-07-01,152.0
2023-08-01,235.0
2023-09-01,184.0
2023-10-01,160.0
2023-11-01,210.0
2023-12-01,171.0
